set,phase,ms,type
alpha-with-mods,paint,258.142,cumulative
alpha-with-mods,load,157.842,self
alpha-with-mods,load,157.842,cumulative
alpha-with-mods,render,106.817,self
alpha-with-mods,render,264.659,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,264.681,cumulative
alpha-with-mods,load,161.366,self
alpha-with-mods,load,161.366,cumulative
alpha-with-mods,render,112.203,self
alpha-with-mods,render,273.569,cumulative
alpha-with-mods,paint,0.025,self
alpha-with-mods,paint,273.594,cumulative
alpha-with-mods,load,151.364,self
alpha-with-mods,load,151.364,cumulative
alpha-with-mods,render,112.834,self
alpha-with-mods,render,264.198,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,264.221,cumulative
alpha-with-mods,load,151.523,self
alpha-with-mods,load,151.523,cumulative
alpha-with-mods,render,111.112,self
alpha-with-mods,render,262.635,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,262.657,cumulative
alpha-with-mods,load,155.252,self
alpha-with-mods,load,155.252,cumulative
alpha-with-mods,render,111.77,self
alpha-with-mods,render,267.022,cumulative
alpha-with-mods,paint,0.055,self
alpha-with-mods,paint,267.077,cumulative
alpha-with-mods,load,154.792,self
alpha-with-mods,load,154.792,cumulative
alpha-with-mods,render,109.076,self
alpha-with-mods,render,263.868,cumulative
alpha-with-mods,paint,0.021,self
alpha-with-mods,paint,263.889,cumulative
alpha-with-mods,load,150.305,self
alpha-with-mods,load,150.305,cumulative
alpha-with-mods,render,106.202,self
alpha-with-mods,render,256.507,cumulative
alpha-with-mods,paint,0.031,self
alpha-with-mods,paint,256.538,cumulative
alpha-with-mods,load,126.546,self
alpha-with-mods,load,126.546,cumulative
alpha-with-mods,render,106.806,self
alpha-with-mods,render,233.352,cumulative
alpha-with-mods,paint,0.024,self
alpha-with-mods,paint,233.376,cumulative
